time,open,high,low,upstop,downstop,volume,money,close
2016/12/9,7.6643,7.7561,7.6367,8.4078,6.8841,198349350.9,23637651,7.7102
2016/12/12,7.7194,7.7928,7.4991,8.4812,6.9392,291908721.6,35125031,7.5082
2016/12/13,7.5174,7.5633,7.4715,8.2609,6.7556,177364820.8,21621330,7.5358
2016/12/14,7.5266,7.5633,7.4623,8.2884,6.7831,165001296.6,20133832,7.4715
2016/12/15,7.4532,7.5358,7.4348,8.215,6.728,135346299.8,16619427,7.4623
2016/12/16,7.4715,7.5541,7.4623,8.2058,6.7189,115079528,14060719,7.5174
2016/12/19,7.5358,7.6367,7.4807,8.2701,6.7648,241385318.2,29305194,7.6184
2016/12/20,7.6,7.6092,7.4532,8.3802,6.8565,208055670.7,25467491,7.4715
2016/12/21,7.5082,7.6184,7.4807,8.215,6.728,245571612.2,29868767,7.5358
2016/12/22,7.5174,7.5358,7.4532,8.2884,6.7831,154487629.5,18921625,7.5082
2016/12/23,7.5174,7.5174,7.444,8.2609,6.7556,128246304,15760909,7.4715
2016/12/26,7.4532,7.4807,7.3797,8.215,6.728,126572543.5,15623992,7.4623
2016/12/27,7.4532,7.5174,7.444,8.2058,6.7189,117189985.9,14377204,7.4623
2016/12/28,7.4807,7.4991,7.4165,8.2058,6.7189,77427460.81,9535354,7.444
2016/12/29,7.4256,7.444,7.3797,8.1875,6.7005,134177708.8,16623345,7.3889
2016/12/30,7.4073,7.4348,7.3706,8.1324,6.6546,145605354.1,18057255,7.3889
2017/1/3,7.4073,7.4532,7.4073,8.1324,6.6546,145632408.2,17980101,7.4532
2017/1/4,7.4623,7.4899,7.4256,8.1967,6.7097,135095782.6,16624235,7.4807
2017/1/5,7.4807,7.5541,7.4623,8.2334,6.7372,182397011.1,22290253,7.4991
2017/1/6,7.5082,7.5174,7.4532,8.2517,6.7464,104735347.3,12854996,7.4623
2017/1/9,7.4623,7.4807,7.4165,8.2058,6.7189,110932533.2,13670004,7.4623
2017/1/10,7.4623,7.5174,7.4532,8.2058,6.7189,122596771.9,15025903,7.4899
2017/1/11,7.4807,7.4807,7.4073,8.2425,6.7372,115774767.3,14283318,7.4256
2017/1/12,7.4256,7.444,7.3889,8.1691,6.6822,86113367.36,10661970,7.3981
2017/1/13,7.3981,7.4256,7.343,8.1416,6.6546,118771852.6,14767385,7.3614
2017/1/16,7.3614,7.3797,7.0309,8.0957,6.6271,188449137.8,23884205,7.1962
2017/1/17,7.2053,7.2604,7.1411,7.9121,6.4802,86803633.04,11073535,7.2145
2017/1/18,7.1962,7.2421,7.1962,7.9396,6.4894,62992594.71,8006128,7.2053
2017/1/19,7.1778,7.2145,7.1686,7.9305,6.4802,62795201.43,8018655,7.187
2017/1/20,7.1778,7.2696,7.1686,7.9029,6.471,83368677.95,10566430,7.2512
2017/1/23,7.2604,7.3063,7.2604,7.9764,6.5261,83889658.91,10565677,7.288
2017/1/24,7.2788,7.3797,7.2788,8.0131,6.5628,117895410.4,14744758,7.343
2017/1/25,7.3522,7.3981,7.3247,8.0773,6.6087,69875161.96,8704703,7.3797
2017/1/26,7.3889,7.4165,7.3614,8.114,6.6454,75020759.94,9328334,7.3797
2017/2/3,7.3797,7.3981,7.343,8.114,6.6454,48040272.24,5986410,7.3614
2017/2/6,7.3797,7.4623,7.3797,8.0957,6.6271,118443089.5,14634717,7.4256
2017/2/7,7.4256,7.4532,7.3981,8.1691,6.6822,87851355.75,10852123,7.444
2017/2/8,7.444,7.4623,7.3981,8.1875,6.7005,105643202.8,13041413,7.4623
2017/2/9,7.4623,7.4715,7.4348,8.2058,6.7189,96951531.77,11941941,7.4715
2017/2/10,7.4807,7.4807,7.4348,8.215,6.728,96411983.02,11870290,7.4623
2017/2/13,7.4532,7.4899,7.444,8.2058,6.7189,109238928.5,13417729,7.4899
2017/2/14,7.4807,7.4899,7.444,8.2425,6.7372,99016743.99,12182312,7.4715
2017/2/15,7.4623,7.5817,7.4348,8.215,6.728,196658245,24000351,7.4899
2017/2/16,7.4623,7.5358,7.4623,8.2425,6.7372,96874296.18,11845581,7.5174
2017/2/17,7.4991,7.5358,7.444,8.2701,6.7648,106396904,13059970,7.4532
2017/2/20,7.4532,7.6092,7.444,8.1967,6.7097,198267510.5,24149560,7.5817
2017/2/21,7.5817,7.6,7.545,8.3435,6.8198,121385257.7,14716667,7.5817
2017/2/22,7.5817,7.5817,7.5174,8.3435,6.8198,125222591.1,15235966,7.545
2017/2/23,7.5358,7.545,7.4623,8.2976,6.7923,128933130.5,15791909,7.5082
2017/2/24,7.4899,7.5358,7.4715,8.2609,6.7556,108545187.1,13260200,7.5174
2017/2/27,7.5174,7.5358,7.444,8.2701,6.7648,124305110.4,15240789,7.4532
2017/2/28,7.4532,7.5082,7.444,8.1967,6.7097,83184964.42,10226186,7.4991
2017/3/1,7.4807,7.5266,7.4715,8.2517,6.7464,98968940.68,12110282,7.4807
2017/3/2,7.4991,7.5082,7.444,8.2334,6.7372,83829039.18,10295308,7.444
2017/3/3,7.4348,7.4623,7.4256,8.1875,6.7005,65566831.08,8084446,7.444
2017/3/6,7.444,7.4807,7.444,8.1875,6.7005,92076158.15,11326667,7.4807
2017/3/7,7.4807,7.5082,7.4532,8.2334,6.7372,149296953.5,18324697,7.5082
2017/3/8,7.5082,7.5174,7.4623,8.2609,6.7556,93439551.31,11464409,7.4899
2017/3/9,7.4715,7.4899,7.3614,8.2425,6.7372,160624703.8,19899558,7.3981
2017/3/10,7.3981,7.4256,7.3614,8.1416,6.6546,77297821.13,9589419,7.3981
2017/3/13,7.3706,7.4256,7.343,8.1416,6.6546,94750368.67,11770247,7.4165
2017/3/14,7.4165,7.4256,7.3522,8.1599,6.673,101464933.7,12620795,7.3706
2017/3/15,7.3706,7.3706,7.343,8.1049,6.6363,85144833.25,10625752,7.3614
2017/3/16,7.3614,7.4073,7.3614,8.0957,6.6271,102725314.8,12768089,7.3889
2017/3/17,7.3889,7.4348,7.3522,8.1324,6.6546,131778794.2,16364879,7.3614
2017/3/20,7.3614,7.3981,7.343,8.0957,6.6271,86899936.71,10817170,7.3981
2017/3/21,7.3981,7.4532,7.3614,8.1416,6.6546,132435050.4,16372173,7.4348
2017/3/22,7.4165,7.4256,7.3614,8.1783,6.6913,80008981.74,9933887,7.3889
2017/3/23,7.3981,7.6735,7.3889,8.1324,6.6546,446379857.7,54126618,7.5633
2017/3/24,7.5725,7.6184,7.4991,8.316,6.8107,265971836.4,32271128,7.5909
2017/3/27,7.5725,7.6,7.5266,8.3527,6.829,150812268.8,18320476,7.5633
2017/3/28,7.5633,7.5633,7.4715,8.316,6.8107,113645840.3,13900688,7.4899
2017/3/29,7.4899,7.5174,7.4256,8.2425,6.7372,127827885,15738353,7.444
2017/3/30,7.4348,7.4348,7.343,8.1875,6.7005,167374894.3,20823623,7.3706
2017/3/31,7.3706,7.4165,7.3522,8.1049,6.6363,78015465.33,9691941,7.3889
2017/4/5,7.4256,7.4715,7.3981,8.1324,6.6546,142935568.9,17623519,7.4623
2017/4/6,7.4623,7.545,7.4348,8.2058,6.7189,160446430.5,19712867,7.4991
2017/4/7,7.5082,7.5082,7.4348,8.2517,6.7464,157227045.6,19328106,7.444
2017/4/10,7.4348,7.5266,7.4165,8.1875,6.7005,187738847.5,23034340,7.5266
2017/4/11,7.5266,7.5358,7.4165,8.2793,6.7739,159608518.8,19592370,7.5082
2017/4/12,7.4623,7.5174,7.4532,8.2609,6.7556,104418911.6,12810014,7.4715
2017/4/13,7.4715,7.5174,7.4532,8.215,6.728,117426416.3,14399538,7.4807
